id,created_at,updated_at,status,code_sap,name,fantasy,system,retroactive,owner
1,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10604003,2D COM DE INSUMOS AGRIC LTDA,DDB AGRO,,,1
3,2019-12-03 15:55:28,2019-12-19 17:50:54,True,10551138,ADUBOS ARAGUAIA IND E COM LTDA,ADUBOS ARAGUAIA,,,1
4,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433983,ADUBOS REAL SA,ADUBOS REAL,,,1
12,2019-12-03 15:55:28,2019-12-20 01:14:14,True,10433578,AGRO COML AFUBRA LTDA,AFUBRA,,,1
13,2019-12-03 15:55:28,2019-12-17 13:43:50,True,10433851,AGRO JANGADA LTDA,AGRO JANGADA,,,1
15,2019-12-03 15:55:28,2020-01-09 15:51:56,True,10502625,AGRO NETO COM DE CEREAIS PROD AGROP,AGROMAIA,,,1
17,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550831,AGROCAFE COM REPRES LTDA,AGROCAFE,,,1
20,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10433848,AGROCAXIAS COMERCIAL AGRICOLA,AGROCAXIAS,,,1
21,2019-12-03 15:55:28,2019-12-17 13:48:53,True,10433439,AGROCERRADO PROD AGRIC AS TEC LTDA,AGROCERRADO,,,1
25,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10560502,AGROIN COM E REPRESENTACOES LTDA,AGROIN,,,1
26,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10586362,AGROINSUMOS COML AGRIC LTDA,AGROINSUMOS,,,1
27,2019-12-03 15:55:28,2019-12-17 14:43:43,True,10528610,AGROLOGICA AGROMERCANTIL LTDA,AGROLOGICA,,,1
28,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10598542,AGROMEC JALES AGRICOLA LTDA,AGROMEC,,,1
30,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10550064,AGROMULLER PROD AGRIC LTDA,AGROMULLER,,,1
31,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10524507,AGRONIL AGRONEGOCIOS DO NORDESTE LT,AGRONIL,,,1
32,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434368,AGROOESTE COM E REPRESENTACAO LTDA,AGROOESTE,,,1
35,2019-12-03 15:55:28,2019-12-18 09:53:27,True,10433764,AGROPAULISTA COM REP PROD AGRO UNAI,AGROPAULISTA,,,1
38,2019-12-03 15:55:28,2019-12-19 16:04:13,True,10514098,AGROSYN COM E REP DE INS AGRIC LTDA,AGROSYN,,,1
40,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10512199,AGROTEC SP COM E REPRES LTDA,AGROTEC,,,1
42,2019-12-03 15:55:28,2019-12-17 14:17:38,True,10433607,AGROTEKNE COM REPRES LTDA,AGROTEKNE,,,1
54,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10548681,BOLSA AGRONEGOCIOS REPRESENTACOES L,BOLSA,,,1
56,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10434372,CAMPO VERDE COM AGRIC E REPRES LTDA,CAMPO VERDE,,,1
63,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10546251,CASAL COMERCIO E SERVICOS LTDA,CASAL,,,1
64,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10551439,CASTROLANDA COOP AGROINDL LTDA,CASTROLANDA,,,1
65,2019-12-03 15:55:28,2019-12-03 15:55:28,True,10598556,CATIVA AGRONEG COM E REPRES LTDA,CATIVA,,,1
